entity_type,entity_name,relation,template,missing_attribute
disease,"growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy; GRIDHH",is caused by a mutation in the gene named,"The disease growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy; GRIDHH is caused by a mutation in the gene named ",IARS1
disease,autosomal dominant nonsyndromic deafness 65,is caused by a mutation in the gene named,The disease autosomal dominant nonsyndromic deafness 65 is caused by a mutation in the gene named ,TBC1D24
disease,progressive myoclonic epilepsy type 7,is caused by a mutation in the gene named,The disease progressive myoclonic epilepsy type 7 is caused by a mutation in the gene named ,KCNC1
disease,Harel-Yoon syndrome,is caused by a mutation in the gene named,The disease Harel-Yoon syndrome is caused by a mutation in the gene named ,ATAD3A
disease,autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency,is caused by a mutation in the gene named,The disease autosomal dominant mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR1 deficiency is caused by a mutation in the gene named ,IFNGR1
disease,Luscan-Lumish syndrome,is caused by a mutation in the gene named,The disease Luscan-Lumish syndrome is caused by a mutation in the gene named ,SETD2
disease,paget disease of bone 6,is caused by a mutation in the gene named,The disease paget disease of bone 6 is caused by a mutation in the gene named ,ZNF687
disease,dyschromatosis symmetrica hereditaria,is caused by a mutation in the gene named,The disease dyschromatosis symmetrica hereditaria is caused by a mutation in the gene named ,ADAR
disease,hereditary proximal myopathy with early respiratory failure,is caused by a mutation in the gene named,The disease hereditary proximal myopathy with early respiratory failure is caused by a mutation in the gene named ,TTN
disease,HUPRA syndrome,is caused by a mutation in the gene named,The disease HUPRA syndrome is caused by a mutation in the gene named ,SARS2
disease,"autosomal dominant cerebellar ataxia, deafness and narcolepsy",is caused by a mutation in the gene named,"The disease autosomal dominant cerebellar ataxia, deafness and narcolepsy is caused by a mutation in the gene named ",DNMT1
disease,galactosialidosis,is caused by a mutation in the gene named,The disease galactosialidosis is caused by a mutation in the gene named ,CTSA
disease,multicentric carpo-tarsal osteolysis with or without nephropathy,is caused by a mutation in the gene named,The disease multicentric carpo-tarsal osteolysis with or without nephropathy is caused by a mutation in the gene named ,MAFB
disease,primary ciliary dyskinesia 15,is caused by a mutation in the gene named,The disease primary ciliary dyskinesia 15 is caused by a mutation in the gene named ,CCDC40
disease,rhizomelic chondrodysplasia punctata type 3,is caused by a mutation in the gene named,The disease rhizomelic chondrodysplasia punctata type 3 is caused by a mutation in the gene named ,AGPS
disease,alternating hemiplegia of childhood,is caused by a mutation in the gene named,The disease alternating hemiplegia of childhood is caused by a mutation in the gene named ,ATP1A2
disease,melanoma-pancreatic cancer syndrome,is caused by a mutation in the gene named,The disease melanoma-pancreatic cancer syndrome is caused by a mutation in the gene named ,CDKN2A
disease,myostatin-related muscle hypertrophy,is caused by a mutation in the gene named,The disease myostatin-related muscle hypertrophy is caused by a mutation in the gene named ,MSTN
disease,"tremor, hereditary essential, 5; ETM5",is caused by a mutation in the gene named,"The disease tremor, hereditary essential, 5; ETM5 is caused by a mutation in the gene named ",TENM4
disease,autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency,is caused by a mutation in the gene named,The disease autoimmune lymphoproliferative syndrome due to CTLA4 haploinsuffiency is caused by a mutation in the gene named ,CTLA4
disease,premature ovarian failure 12; POF12,is caused by a mutation in the gene named,The disease premature ovarian failure 12; POF12 is caused by a mutation in the gene named ,SYCE1
disease,TELO2-related intellectual disability-neurodevelopmental disorder,is caused by a mutation in the gene named,The disease TELO2-related intellectual disability-neurodevelopmental disorder is caused by a mutation in the gene named ,TELO2
disease,Catel–Manzke syndrome,is caused by a mutation in the gene named,The disease Catel–Manzke syndrome is caused by a mutation in the gene named ,TGDS
disease,Thauvin-Robinet-Faivre syndrome; TROFAS,is caused by a mutation in the gene named,The disease Thauvin-Robinet-Faivre syndrome; TROFAS is caused by a mutation in the gene named ,FIBP
disease,chromosome 1p32-p31 deletion syndrome,is caused by a mutation in the gene named,The disease chromosome 1p32-p31 deletion syndrome is caused by a mutation in the gene named ,NFIA
disease,lobar holoprosencephaly,is caused by a mutation in the gene named,The disease lobar holoprosencephaly is caused by a mutation in the gene named ,GLI2
disease,keratoconus,is caused by a mutation in the gene named,The disease keratoconus is caused by a mutation in the gene named ,VSX1
disease,multiple epiphyseal dysplasia,is caused by a mutation in the gene named,The disease multiple epiphyseal dysplasia is caused by a mutation in the gene named ,COL9A1
disease,Odonto-onycho-dermal dysplasia,is caused by a mutation in the gene named,The disease Odonto-onycho-dermal dysplasia is caused by a mutation in the gene named ,WNT10A
disease,absence of fingerprints-congenital milia syndrome,is caused by a mutation in the gene named,The disease absence of fingerprints-congenital milia syndrome is caused by a mutation in the gene named ,SMARCAD1
disease,axial spondylometaphyseal dysplasia,is caused by a mutation in the gene named,The disease axial spondylometaphyseal dysplasia is caused by a mutation in the gene named ,CFAP410
disease,Tay-Sachs disease,is caused by a mutation in the gene named,The disease Tay-Sachs disease is caused by a mutation in the gene named ,HEXA
disease,Stevens–Johnson syndrome,is caused by a mutation in the gene named,The disease Stevens–Johnson syndrome is caused by a mutation in the gene named ,POU5F1
disease,methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency,is caused by a mutation in the gene named,The disease methylmalonic acidemia due to methylmalonyl-CoA epimerase deficiency is caused by a mutation in the gene named ,MCEE
disease,sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome,is caused by a mutation in the gene named,The disease sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome is caused by a mutation in the gene named ,TBXT
disease,Stargardt disease,is caused by a mutation in the gene named,The disease Stargardt disease is caused by a mutation in the gene named ,PROM1
disease,Michelin tire baby syndrome,is caused by a mutation in the gene named,The disease Michelin tire baby syndrome is caused by a mutation in the gene named ,MAPRE2
disease,hereditary spastic paraplegia 13,is caused by a mutation in the gene named,The disease hereditary spastic paraplegia 13 is caused by a mutation in the gene named ,HSPD1
disease,Ayme-Gripp syndrome,is caused by a mutation in the gene named,The disease Ayme-Gripp syndrome is caused by a mutation in the gene named ,MAF
disease,HFE hereditary haemochromatosis,is caused by a mutation in the gene named,The disease HFE hereditary haemochromatosis is caused by a mutation in the gene named ,HFE
disease,"striatonigral degeneration, childhood-onset; SNDC",is caused by a mutation in the gene named,"The disease striatonigral degeneration, childhood-onset; SNDC is caused by a mutation in the gene named ",VAC14
disease,nasodigitoacoustic syndrome,is caused by a mutation in the gene named,The disease nasodigitoacoustic syndrome is caused by a mutation in the gene named ,GPC4
disease,congenital disorder of glycosylation If,is caused by a mutation in the gene named,The disease congenital disorder of glycosylation If is caused by a mutation in the gene named ,MPDU1
disease,"progeroid syndrome, Petty type",is caused by a mutation in the gene named,"The disease progeroid syndrome, Petty type is caused by a mutation in the gene named ",SLC25A24
disease,adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency,is caused by a mutation in the gene named,The disease adult-onset multiple mitochondrial DNA deletion syndrome due to DGUOK deficiency is caused by a mutation in the gene named ,DGUOK
disease,Laing early-onset distal myopathy,is caused by a mutation in the gene named,The disease Laing early-onset distal myopathy is caused by a mutation in the gene named ,MYH7
disease,autosomal dominant limb-girdle muscular dystrophy type 1C,is caused by a mutation in the gene named,The disease autosomal dominant limb-girdle muscular dystrophy type 1C is caused by a mutation in the gene named ,CAV3
disease,"Ehlers-Danlos syndrome, arthrochalasis type",is caused by a mutation in the gene named,"The disease Ehlers-Danlos syndrome, arthrochalasis type is caused by a mutation in the gene named ",COL1A1
disease,Senior-Loken syndrome 8,is caused by a mutation in the gene named,The disease Senior-Loken syndrome 8 is caused by a mutation in the gene named ,WDR19
disease,propionic acidemia,is caused by a mutation in the gene named,The disease propionic acidemia is caused by a mutation in the gene named ,PCCA
disease,mucosulfatidosis,is caused by a mutation in the gene named,The disease mucosulfatidosis is caused by a mutation in the gene named ,ARSB
disease,glycogen storage disease due to phosphoglycerate kinase 1 deficiency,is caused by a mutation in the gene named,The disease glycogen storage disease due to phosphoglycerate kinase 1 deficiency is caused by a mutation in the gene named ,PGK1
disease,transketolase deficiency,is caused by a mutation in the gene named,The disease transketolase deficiency is caused by a mutation in the gene named ,TKT
disease,complement 3 deficiency,is caused by a mutation in the gene named,The disease complement 3 deficiency is caused by a mutation in the gene named ,C3
disease,hereditary pyropoikilocytosis,is caused by a mutation in the gene named,The disease hereditary pyropoikilocytosis is caused by a mutation in the gene named ,SPTA1
disease,Carney-Stratakis syndrome,is caused by a mutation in the gene named,The disease Carney-Stratakis syndrome is caused by a mutation in the gene named ,SDHD
disease,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9",is caused by a mutation in the gene named,"The disease muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 9 is caused by a mutation in the gene named ",DAG1
disease,COL4A1-related familial vascular leukoencephalopathy,is caused by a mutation in the gene named,The disease COL4A1-related familial vascular leukoencephalopathy is caused by a mutation in the gene named ,COL4A1
disease,hyperthyroidism,is caused by a mutation in the gene named,The disease hyperthyroidism is caused by a mutation in the gene named ,TSHR
disease,premature ovarian failure,is caused by a mutation in the gene named,The disease premature ovarian failure is caused by a mutation in the gene named ,FOXL2
disease,megaconial type congenital muscular dystrophy,is caused by a mutation in the gene named,The disease megaconial type congenital muscular dystrophy is caused by a mutation in the gene named ,CHKB
disease,immunodeficiency 27A,is caused by a mutation in the gene named,The disease immunodeficiency 27A is caused by a mutation in the gene named ,IFNGR1
disease,multiple congenital anomalies-hypotonia-seizures syndrome 3,is caused by a mutation in the gene named,The disease multiple congenital anomalies-hypotonia-seizures syndrome 3 is caused by a mutation in the gene named ,PIGT
disease,long QT syndrome 12,is caused by a mutation in the gene named,The disease long QT syndrome 12 is caused by a mutation in the gene named ,SNTA1
disease,autosomal recessive limb-girdle muscular dystrophy type 2O,is caused by a mutation in the gene named,The disease autosomal recessive limb-girdle muscular dystrophy type 2O is caused by a mutation in the gene named ,POMGNT1
disease,lipoic acid synthetase deficiency,is caused by a mutation in the gene named,The disease lipoic acid synthetase deficiency is caused by a mutation in the gene named ,LIAS
disease,frontotemporal lobar degeneration,is caused by a mutation in the gene named,The disease frontotemporal lobar degeneration is caused by a mutation in the gene named ,MAPT
disease,autosomal recessive mendelian susceptibility to mycobacterial diseases due to complete RORgamma receptor deficiency,is caused by a mutation in the gene named,The disease autosomal recessive mendelian susceptibility to mycobacterial diseases due to complete RORgamma receptor deficiency is caused by a mutation in the gene named ,RORC
disease,"intellectual disability, X-linked, syndromic, Bain type",is caused by a mutation in the gene named,"The disease intellectual disability, X-linked, syndromic, Bain type is caused by a mutation in the gene named ",HNRNPH2
disease,D-2-hydroxyglutaric aciduria,is caused by a mutation in the gene named,The disease D-2-hydroxyglutaric aciduria is caused by a mutation in the gene named ,IDH2
disease,cataract 30,is caused by a mutation in the gene named,The disease cataract 30 is caused by a mutation in the gene named ,VIM
disease,Noonan syndrome 10,is caused by a mutation in the gene named,The disease Noonan syndrome 10 is caused by a mutation in the gene named ,LZTR1
disease,"Ehlers-Danlos syndrome, spondylocheirodysplastic type",is caused by a mutation in the gene named,"The disease Ehlers-Danlos syndrome, spondylocheirodysplastic type is caused by a mutation in the gene named ",SLC39A13
disease,acrocallosal syndrome,is caused by a mutation in the gene named,The disease acrocallosal syndrome is caused by a mutation in the gene named ,KIF7
disease,congenital brain dysgenesis due to glutamine synthetase deficiency,is caused by a mutation in the gene named,The disease congenital brain dysgenesis due to glutamine synthetase deficiency is caused by a mutation in the gene named ,GLUL
disease,"epileptic encephalopathy, early infantile, 51; EIEE51",is caused by a mutation in the gene named,"The disease epileptic encephalopathy, early infantile, 51; EIEE51 is caused by a mutation in the gene named ",MDH2
disease,macular corneal dystrophy,is caused by a mutation in the gene named,The disease macular corneal dystrophy is caused by a mutation in the gene named ,CHST6
disease,Fucosyltransferase 6 deficiency,is caused by a mutation in the gene named,The disease Fucosyltransferase 6 deficiency is caused by a mutation in the gene named ,FUT6
disease,MASS syndrome,is caused by a mutation in the gene named,The disease MASS syndrome is caused by a mutation in the gene named ,FBN1
disease,ectrodactyly,is caused by a mutation in the gene named,The disease ectrodactyly is caused by a mutation in the gene named ,WNT10B
disease,lethal encephalopathy due to mitochondrial and peroxisomal fission defect,is caused by a mutation in the gene named,The disease lethal encephalopathy due to mitochondrial and peroxisomal fission defect is caused by a mutation in the gene named ,DNM1L
disease,lethal neonatal spasticity-epileptic encephalopathy syndrome,is caused by a mutation in the gene named,The disease lethal neonatal spasticity-epileptic encephalopathy syndrome is caused by a mutation in the gene named ,BRAT1
disease,renal coloboma syndrome,is caused by a mutation in the gene named,The disease renal coloboma syndrome is caused by a mutation in the gene named ,PAX2
disease,atrial heart septal defect,is caused by a mutation in the gene named,The disease atrial heart septal defect is caused by a mutation in the gene named ,GATA4
disease,facial dysmorphism-immunodeficiency-livedo-short stature syndrome,is caused by a mutation in the gene named,The disease facial dysmorphism-immunodeficiency-livedo-short stature syndrome is caused by a mutation in the gene named ,POLE
disease,Char syndrome,is caused by a mutation in the gene named,The disease Char syndrome is caused by a mutation in the gene named ,TFAP2B
disease,nephronophthisis 14,is caused by a mutation in the gene named,The disease nephronophthisis 14 is caused by a mutation in the gene named ,ZNF423
disease,"aortic aneurysm, familial thoracic 9",is caused by a mutation in the gene named,"The disease aortic aneurysm, familial thoracic 9 is caused by a mutation in the gene named ",MFAP5
disease,peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome,is caused by a mutation in the gene named,The disease peripheral neuropathy-myopathy-hoarseness-hearing loss syndrome is caused by a mutation in the gene named ,MYH14
disease,dopamine-responsive dystonia,is caused by a mutation in the gene named,The disease dopamine-responsive dystonia is caused by a mutation in the gene named ,GCH1
disease,DOCK2 deficiency,is caused by a mutation in the gene named,The disease DOCK2 deficiency is caused by a mutation in the gene named ,DOCK2
disease,hypertrophic cardiomyopathy 27,is caused by a mutation in the gene named,The disease hypertrophic cardiomyopathy 27 is caused by a mutation in the gene named ,ALPK3
disease,corneal intraepithelial dyskeratosis-palmoplantar hyperkeratosis-laryngeal dyskeratosis syndrome,is caused by a mutation in the gene named,The disease corneal intraepithelial dyskeratosis-palmoplantar hyperkeratosis-laryngeal dyskeratosis syndrome is caused by a mutation in the gene named ,NLRP1
disease,brown-Vialetto-van Laere syndrome 2,is caused by a mutation in the gene named,The disease brown-Vialetto-van Laere syndrome 2 is caused by a mutation in the gene named ,SLC52A2
disease,non-syndromic X-linked intellectual disability,is caused by a mutation in the gene named,The disease non-syndromic X-linked intellectual disability is caused by a mutation in the gene named ,SYP
disease,congenital generalized lipodystrophy type 4,is caused by a mutation in the gene named,The disease congenital generalized lipodystrophy type 4 is caused by a mutation in the gene named ,CAVIN1
disease,"thrombophilia due to protein C deficiency, autosomal recessive",is caused by a mutation in the gene named,"The disease thrombophilia due to protein C deficiency, autosomal recessive is caused by a mutation in the gene named ",PROC
disease,combined oxidative phosphorylation defect type 26,is caused by a mutation in the gene named,The disease combined oxidative phosphorylation defect type 26 is caused by a mutation in the gene named ,TRMT5
disease,pseudohypoaldosteronism type 2E,is caused by a mutation in the gene named,The disease pseudohypoaldosteronism type 2E is caused by a mutation in the gene named ,CUL3
disease,atrichia with papular lesions,is caused by a mutation in the gene named,The disease atrichia with papular lesions is caused by a mutation in the gene named ,HR
disease,"spondyloepimetaphyseal dysplasia, Genevieve type",is caused by a mutation in the gene named,"The disease spondyloepimetaphyseal dysplasia, Genevieve type is caused by a mutation in the gene named ",NANS
disease,familial hemophagocytic lymphohistiocytosis 4,is caused by a mutation in the gene named,The disease familial hemophagocytic lymphohistiocytosis 4 is caused by a mutation in the gene named ,STX11
disease,"neuroblastoma, susceptibility to",is caused by a mutation in the gene named,"The disease neuroblastoma, susceptibility to is caused by a mutation in the gene named ",NME1
disease,autosomal dominant nonsyndromic deafness 40,is caused by a mutation in the gene named,The disease autosomal dominant nonsyndromic deafness 40 is caused by a mutation in the gene named ,CRYM
disease,T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,is caused by a mutation in the gene named,The disease T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta is caused by a mutation in the gene named ,CD3D
disease,autosomal recessive nonsyndromic deafness 24,is caused by a mutation in the gene named,The disease autosomal recessive nonsyndromic deafness 24 is caused by a mutation in the gene named ,RDX
disease,short-rib thoracic dysplasia 16 with or without polydactyly; SRTD16,is caused by a mutation in the gene named,The disease short-rib thoracic dysplasia 16 with or without polydactyly; SRTD16 is caused by a mutation in the gene named ,IFT52
disease,"tooth agenesis, selective, 8; STHAG8",is caused by a mutation in the gene named,"The disease tooth agenesis, selective, 8; STHAG8 is caused by a mutation in the gene named ",WNT10B
disease,Ellis–Van Creveld syndrome,is caused by a mutation in the gene named,The disease Ellis–Van Creveld syndrome is caused by a mutation in the gene named ,EVC
disease,Nestor-Guillermo progeria syndrome,is caused by a mutation in the gene named,The disease Nestor-Guillermo progeria syndrome is caused by a mutation in the gene named ,BANF1
disease,Genitopatellar syndrome,is caused by a mutation in the gene named,The disease Genitopatellar syndrome is caused by a mutation in the gene named ,KAT6B
disease,combined oxidative phosphorylation defect type 30,is caused by a mutation in the gene named,The disease combined oxidative phosphorylation defect type 30 is caused by a mutation in the gene named ,TRMT10C
disease,neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome due to a point mutation,is caused by a mutation in the gene named,The disease neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome due to a point mutation is caused by a mutation in the gene named ,HNRNPK
disease,immunodeficiency-centromeric instability-facial anomalies syndrome 2,is caused by a mutation in the gene named,The disease immunodeficiency-centromeric instability-facial anomalies syndrome 2 is caused by a mutation in the gene named ,ZBTB24
disease,IRF6-related disorders,is caused by a mutation in the gene named,The disease IRF6-related disorders is caused by a mutation in the gene named ,IRF6
disease,"intellectual disability, autosomal recessive 53; MRT53",is caused by a mutation in the gene named,"The disease intellectual disability, autosomal recessive 53; MRT53 is caused by a mutation in the gene named ",PIGG
disease,complex cortical dysplasia with other brain malformations 2,is caused by a mutation in the gene named,The disease complex cortical dysplasia with other brain malformations 2 is caused by a mutation in the gene named ,KIF5C
disease,PASLI Disease,is caused by a mutation in the gene named,The disease PASLI Disease is caused by a mutation in the gene named ,PIK3CD
disease,type 1 diabetes mellitus 2,is caused by a mutation in the gene named,The disease type 1 diabetes mellitus 2 is caused by a mutation in the gene named ,INS
disease,Worth's syndrome,is caused by a mutation in the gene named,The disease Worth's syndrome is caused by a mutation in the gene named ,LRP5
disease,Malignant Migrating Partial Seizures in Infancy,is caused by a mutation in the gene named,The disease Malignant Migrating Partial Seizures in Infancy is caused by a mutation in the gene named ,PLCB1
disease,"congenital cataracts, facial dysmorphism, and neuropathy",is caused by a mutation in the gene named,"The disease congenital cataracts, facial dysmorphism, and neuropathy is caused by a mutation in the gene named ",CTDP1
disease,hereditary spastic paraplegia 28,is caused by a mutation in the gene named,The disease hereditary spastic paraplegia 28 is caused by a mutation in the gene named ,DDHD1
disease,cryptosporidiosis-chronic cholangitis-liver disease syndrome,is caused by a mutation in the gene named,The disease cryptosporidiosis-chronic cholangitis-liver disease syndrome is caused by a mutation in the gene named ,IL21R
disease,acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins,is caused by a mutation in the gene named,The disease acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins is caused by a mutation in the gene named ,TRMU
disease,Bardet-Biedl syndrome 20; BBS20,is caused by a mutation in the gene named,The disease Bardet-Biedl syndrome 20; BBS20 is caused by a mutation in the gene named ,IFT74
disease,Cernunnos deﬁciency,is caused by a mutation in the gene named,The disease Cernunnos deﬁciency is caused by a mutation in the gene named ,NHEJ1
disease,ataxia telangiectasia,is caused by a mutation in the gene named,The disease ataxia telangiectasia is caused by a mutation in the gene named ,ATM
disease,hereditary spastic paraplegia 12,is caused by a mutation in the gene named,The disease hereditary spastic paraplegia 12 is caused by a mutation in the gene named ,RTN2
disease,pachyonychia congenita 3,is caused by a mutation in the gene named,The disease pachyonychia congenita 3 is caused by a mutation in the gene named ,KRT6A
disease,XMEN Disease,is caused by a mutation in the gene named,The disease XMEN Disease is caused by a mutation in the gene named ,MAGT1
disease,congenital prekallikrein deficiency,is caused by a mutation in the gene named,The disease congenital prekallikrein deficiency is caused by a mutation in the gene named ,KLKB1
disease,severe early-onset pulmonary alveolar proteinosis due to MARS deficiency,is caused by a mutation in the gene named,The disease severe early-onset pulmonary alveolar proteinosis due to MARS deficiency is caused by a mutation in the gene named ,MARS1
disease,"Kallikrein, decreased urinary activity of",is caused by a mutation in the gene named,"The disease Kallikrein, decreased urinary activity of is caused by a mutation in the gene named ",KLK1
disease,"Neutropenia, severe congenital, 6, autosomal recessive",is caused by a mutation in the gene named,"The disease Neutropenia, severe congenital, 6, autosomal recessive is caused by a mutation in the gene named ",JAGN1
disease,ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome,is caused by a mutation in the gene named,The disease ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome is caused by a mutation in the gene named ,LAMA1
disease,"hypophosphatemic rickets, X-linked recessive",is caused by a mutation in the gene named,"The disease hypophosphatemic rickets, X-linked recessive is caused by a mutation in the gene named ",CLCN5
disease,Nakajo syndrome,is caused by a mutation in the gene named,The disease Nakajo syndrome is caused by a mutation in the gene named ,PSMB8
disease,familial cortical myoclonus,is caused by a mutation in the gene named,The disease familial cortical myoclonus is caused by a mutation in the gene named ,NOL3
disease,short stature-brachydactyly-obesity-global developmental delay syndrome,is caused by a mutation in the gene named,The disease short stature-brachydactyly-obesity-global developmental delay syndrome is caused by a mutation in the gene named ,PRMT7
disease,connective tissue disorder due to lysyl hydroxylase-3 deficiency,is caused by a mutation in the gene named,The disease connective tissue disorder due to lysyl hydroxylase-3 deficiency is caused by a mutation in the gene named ,PLOD3
disease,mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency,is caused by a mutation in the gene named,The disease mendelian susceptibility to mycobacterial diseases due to complete IL12RB1 deficiency is caused by a mutation in the gene named ,IL12RB1
disease,"progressive external ophthalmoplegia with mitochondrial Dna deletions, autosomal recessive 2",is caused by a mutation in the gene named,"The disease progressive external ophthalmoplegia with mitochondrial Dna deletions, autosomal recessive 2 is caused by a mutation in the gene named ",RNASEH1
disease,childhood encephalopathy due to thiamine pyrophosphokinase deficiency,is caused by a mutation in the gene named,The disease childhood encephalopathy due to thiamine pyrophosphokinase deficiency is caused by a mutation in the gene named ,TPK1
disease,"nephrotic syndrome, type 12",is caused by a mutation in the gene named,"The disease nephrotic syndrome, type 12 is caused by a mutation in the gene named ",NUP93
disease,pyridoxine-refractory autosomal recessive sideroblastic anemia,is caused by a mutation in the gene named,The disease pyridoxine-refractory autosomal recessive sideroblastic anemia is caused by a mutation in the gene named ,SLC25A38
disease,chronic granulomatous disease,is caused by a mutation in the gene named,The disease chronic granulomatous disease is caused by a mutation in the gene named ,CYBB
disease,autosomal dominant non-syndromic intellectual disability 33,is caused by a mutation in the gene named,The disease autosomal dominant non-syndromic intellectual disability 33 is caused by a mutation in the gene named ,DPP6
disease,ovotesticular disorder of sex development,is caused by a mutation in the gene named,The disease ovotesticular disorder of sex development is caused by a mutation in the gene named ,SRY
disease,Legg–Calvé–Perthes disease,is caused by a mutation in the gene named,The disease Legg–Calvé–Perthes disease is caused by a mutation in the gene named ,COL2A1
disease,Adiponectin deficiency,is caused by a mutation in the gene named,The disease Adiponectin deficiency is caused by a mutation in the gene named ,ADIPOQ
disease,early-onset Lafora body disease,is caused by a mutation in the gene named,The disease early-onset Lafora body disease is caused by a mutation in the gene named ,PRDM8
disease,alpha-methylacyl-CoA racemase deficiency,is caused by a mutation in the gene named,The disease alpha-methylacyl-CoA racemase deficiency is caused by a mutation in the gene named ,AMACR
disease,autosomal recessive limb-girdle muscular dystrophy type 2H,is caused by a mutation in the gene named,The disease autosomal recessive limb-girdle muscular dystrophy type 2H is caused by a mutation in the gene named ,TRIM32
disease,Leber congenital amaurosis 12,is caused by a mutation in the gene named,The disease Leber congenital amaurosis 12 is caused by a mutation in the gene named ,RD3
disease,ADULT syndrome,is caused by a mutation in the gene named,The disease ADULT syndrome is caused by a mutation in the gene named ,TP63
disease,Richieri Costa-Pereira syndrome,is caused by a mutation in the gene named,The disease Richieri Costa-Pereira syndrome is caused by a mutation in the gene named ,EIF4A3
disease,3-M syndrome,is caused by a mutation in the gene named,The disease 3-M syndrome is caused by a mutation in the gene named ,CUL7
disease,left ventricular noncompaction 7,is caused by a mutation in the gene named,The disease left ventricular noncompaction 7 is caused by a mutation in the gene named ,MIB1
disease,homocystinuria,is caused by a mutation in the gene named,The disease homocystinuria is caused by a mutation in the gene named ,CBS
disease,osteogenesis imperfecta type 14,is caused by a mutation in the gene named,The disease osteogenesis imperfecta type 14 is caused by a mutation in the gene named ,TMEM38B
disease,Premature ovarian failure 10,is caused by a mutation in the gene named,The disease Premature ovarian failure 10 is caused by a mutation in the gene named ,MCM8
disease,autoimmune lymphoproliferative syndrome type 2A,is caused by a mutation in the gene named,The disease autoimmune lymphoproliferative syndrome type 2A is caused by a mutation in the gene named ,CASP10
disease,"tooth agenesis, selective, 9; STHAG9",is caused by a mutation in the gene named,"The disease tooth agenesis, selective, 9; STHAG9 is caused by a mutation in the gene named ",GREM2
disease,hereditary spastic paraplegia 73,is caused by a mutation in the gene named,The disease hereditary spastic paraplegia 73 is caused by a mutation in the gene named ,CPT1C
disease,even-plus syndrome,is caused by a mutation in the gene named,The disease even-plus syndrome is caused by a mutation in the gene named ,HSPA9
disease,Meckel syndrome 2,is caused by a mutation in the gene named,The disease Meckel syndrome 2 is caused by a mutation in the gene named ,TMEM216
disease,hypogonadotropic hypogonadism,is caused by a mutation in the gene named,The disease hypogonadotropic hypogonadism is caused by a mutation in the gene named ,FGFR1
disease,chromosome 16p13.2 deletion syndrome,is caused by a mutation in the gene named,The disease chromosome 16p13.2 deletion syndrome is caused by a mutation in the gene named ,USP7
disease,orofaciodigital syndrome XVI,is caused by a mutation in the gene named,The disease orofaciodigital syndrome XVI is caused by a mutation in the gene named ,TMEM107
disease,2-methylbutyryl-CoA dehydrogenase deficiency,is caused by a mutation in the gene named,The disease 2-methylbutyryl-CoA dehydrogenase deficiency is caused by a mutation in the gene named ,ACADSB
disease,hemolytic anemia,is caused by a mutation in the gene named,The disease hemolytic anemia is caused by a mutation in the gene named ,AK1
disease,progressive microcephaly-seizures-cortical blindness-developmental delay syndrome,is caused by a mutation in the gene named,The disease progressive microcephaly-seizures-cortical blindness-developmental delay syndrome is caused by a mutation in the gene named ,DIAPH1
disease,"hypercalcemia, infantile, 2; HCINF2",is caused by a mutation in the gene named,"The disease hypercalcemia, infantile, 2; HCINF2 is caused by a mutation in the gene named ",SLC34A1
disease,Sengers syndrome,is caused by a mutation in the gene named,The disease Sengers syndrome is caused by a mutation in the gene named ,AGK
disease,anauxetic dysplasia 1,is caused by a mutation in the gene named,The disease anauxetic dysplasia 1 is caused by a mutation in the gene named ,RMRP
disease,Aicardi-Goutieres syndrome 1,is caused by a mutation in the gene named,The disease Aicardi-Goutieres syndrome 1 is caused by a mutation in the gene named ,TREX1
disease,congenital diarrhea 6,is caused by a mutation in the gene named,The disease congenital diarrhea 6 is caused by a mutation in the gene named ,GUCY2C
disease,mental retardation and microcephaly with pontine and cerebellar hypoplasia,is caused by a mutation in the gene named,The disease mental retardation and microcephaly with pontine and cerebellar hypoplasia is caused by a mutation in the gene named ,CASK
disease,familial dysbetalipoproteinemia,is caused by a mutation in the gene named,The disease familial dysbetalipoproteinemia is caused by a mutation in the gene named ,APOE
disease,Leber hereditary optic neuropathy,is caused by a mutation in the gene named,The disease Leber hereditary optic neuropathy is caused by a mutation in the gene named ,ATP6
